SMILES,IE,EA,n_F,n_O
COc1ccccc1CO,6.157538438,1.016692119,0,2
CCSc1ccccc1C,5.896645366,1.273245353,0,0
O=C1C=C(Cl)C(=O)c2ccccc21,7.52210796,4.092372648,0,2
N#Cc1c2ccccc2cc2ccccc12,5.772248505,2.945562391,0,0
CC=C(C)C,6.173508617,0.261466832,0,0
Cc1ccc2nccnc2c1,6.713001701,2.604856929,0,0
C=Cc1cc(-c2ccncc2)ccn1,6.538245881,2.554350323,0,0
Nc1ccc2nccnc2c1,5.680933708,2.505668942,0,0
C#Cc1cnc2cccc(C#C)c2n1,6.518648767,3.113741762,0,0
O=[N+]([O-])c1ccc2c([N+](=O)[O-])cccc2c1,6.897068935,3.683208381,0,4
O=C1c2ccccc2C(=O)C1c1ccccc1,6.601801562,3.018420499,0,2
ClC(Cl)(Cl)c1cnc2ccccc2n1,7.065432301,4.181919764,0,0
NC1CCSCC1,5.919017167,0.657695235,0,0
C=Cc1cc(-c2ccncc2)c(C)cn1,6.360807394,2.298394188,0,0
c1ccc(-c2cnc3ccccc3n2)cc1,6.362690976,2.734670634,0,0
CC[C@@H]1CCS[C@H](C)C1,6.085325412,0.472394696,0,0
C=Cc1cc(-c2ccncc2C)ccn1,6.601628524,2.31407191,0,0
CCCN,6.154840217,0.561724948,0,0
Cc1nccc(-c2ccncc2)c1O,6.4312399,2.307247126,0,1
COc1nccc(-c2ccncc2)c1C,6.303814405,2.186523019,0,1
C#C[C@H]1CCCSC1,6.207845669,0.738856205,0,0
CN[C@H]1CCCSC1,5.589669758,0.511430496,0,0
C[C@@H]1CCCS[C@@H]1F,6.370720152,0.508999177,1,0
C#C[C@@H]1CCC[C@H](C)S1,6.214912922,0.819861278,0,0
Sc1ccc(S)cc1,5.643449629,1.608108357,0,0
Cc1ccc2c3c1CCc1c(C)ccc(c1-3)CC2,5.627224817,1.430077756,0,0
Nc1cccc(-c2ccsc2)c1,5.415909883,1.531069447,0,0
CC(=O)Nc1cc(-c2ccnc(C)c2)ccn1,6.443403963,2.474768182,0,1
C=Cc1ccc(C)c2c1C(=O)c1ccccc1C2=O,6.374552587,3.468809169,0,2
Cc1cc2c(c(C(Cl)(Cl)Cl)c1)C(=O)c1ccccc1C2=O,7.219074027,3.634064039,0,2
C[C@@]1(C#N)CCCSC1,6.368977388,0.660064546,0,0
COc1ccsc1,5.774218264,1.050756826,0,1
C/C(O)=N/c1ccsc1,5.750193023,1.451965559,0,1
CC(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O,6.431143161,3.687753302,0,3
Cc1cnccc1-c1ccncc1N(C)C,5.504115039,2.036633652,0,0
Oc1ccc2nccnc2c1,6.362977542,2.621408825,0,1
Cc1cc(-c2ccncc2O)ccn1,6.63259011,2.343687348,0,1
CNc1cc(-c2ccncc2)c(C)cn1,5.523174129,2.191484974,0,0
Nc1cc(-c2ccncc2)ccn1,5.921487027,2.371830687,0,0
C=Cc1cnc2ccc(C)cc2n1,6.475384768,2.661337277,0,0
CNc1cccc2c1C(=O)c1ccccc1C2=O,5.717586803,3.44780388,0,2
C[C@]1(F)CCCCS1,6.498101536,0.54582947,1,0
O=C(O)c1cnc2cccc(C(=O)O)c2n1,6.963750472,3.454495021,0,4
O=C(O)C1(C(=O)O)CCCCS1,6.544794752,3.002970093,0,4
CC[C@@H]1CCC[C@H](C)S1,6.021306813,0.497231819,0,0
Fc1nccc(-c2ccncc2)c1F,7.249946814,2.672965004,2,0
Cc1c(-c2ccncc2)ccnc1C#N,7.23905207,2.642678763,0,0
Cc1cnc2cccc(N)c2n1,5.417626175,2.481764999,0,0
Cc1cc(-c2ccnc(F)c2)ccn1,7.024988984,2.585737528,1,0
OC1CCSCC1,6.178477764,0.893001731,0,1
c1ccc(-c2ccc3nccnc3c2)cc1,6.273260731,2.714959546,0,0
CNc1cccc2nccnc12,5.328827117,2.501593123,0,0
O=C(O)[C@H]1CCCCS1,6.327075765,2.428003813,0,2
F[C@H]1CCCCS1,6.646016787,0.495707589,1,0
C[C@@]1(F)CCCSC1,6.212099739,0.5473694,1,0
N[C@H]1CCCSC1,5.848571751,0.606971545,0,0
C=C[C@H]1CCCCS1,6.117222119,2.659692423,0,0
CC(C)=O,7.283211066,1.500211125,0,1
CN1CCCC1=O,6.601622649,0.431517826,0,1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,6.65412185,3.228411232,0,1
c1ccc2sccc2c1,6.003609479,1.433434136,0,0
C#Cc1cc(-c2ccncc2C#C)ccn1,6.908015267,2.70464435,0,0
Cc1cnccc1-c1ccnc([N+](=O)[O-])c1,7.067591549,3.62264839,0,2
C=Cc1cnc2c(C)cccc2n1,6.393119287,2.659795393,0,0
Cc1cc(C(=O)O)cc2c1C(=O)c1ccccc1C2=O,7.249386339,3.684298806,0,4
O=[N+]([O-])c1ccc2nc([N+](=O)[O-])cnc2c1,7.732284504,4.33960674,0,4
OCC(O)CO,6.939917507,0.96013994,0,3
CN(C)[C@H]1CCCSC1,5.208965205,0.555529188,0,0
O=C1c2ccccc2C(=O)c2cc(-c3ccccc3)ccc21,6.445276005,3.591628041,0,2
Cc1c(-c2ccncc2)ccnc1F,7.137571524,2.409554903,1,0
c1nnco1,8.551551823,1.486204911,0,1
O=C1CSC(=S)N1,6.877157329,2.699013169,0,1
Cc1cc(C(=O)O)c2nccnc2c1,6.696920333,2.97745652,0,2
Cc1cccnc1,6.885731405,1.446089949,0,0
N#Cc1cnccc1-c1ccncc1C#N,7.772735012,3.171318818,0,0
CCc1ccc(CC)s1,5.812565923,0.982582728,0,0
C/C(O)=N/c1ccsc1/N=C(/C)O,5.21052673,2.184239736,0,2
c1ccc(-c2cc(-c3ccncc3)c(-c3ccccc3)cn2)cc1,6.091852228,2.409029838,0,0
[O]N1C=CN([O])C=C1,6.176455337,2.771025707,0,2
C=C[C@@H]1C[C@H](C=C)CCS1,5.800007796,2.518196005,0,0
CCC1(CC)CCSCC1,6.082476818,0.428983962,0,0
Cc1cc(-c2ccncc2)cc(N(C)C)n1,5.417423216,2.280301246,0,0
CCc1cncc(CC)c1-c1ccncc1,6.786667301,2.018436004,0,0
[CH][N][CH][C@H]1C=C1c1cc(C(Cl)(Cl)Cl)ncc1C(Cl)(Cl)Cl,5.306876537,4.092028207,0,0
CNc1ccc2c(c1)C(=O)c1ccc(C)cc1C2=O,5.725463581,3.373701276,0,2
